1001;Vitoria-Gasteiz;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;253093;123092;130001
1002;Vitoria-Gasteiz;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;253093;123092;130001
1003;Vitoria-Gasteiz;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;253093;123092;130001
1004;Vitoria-Gasteiz;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;253093;123092;130001
1005;Vitoria-Gasteiz;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;253093;123092;130001
1006;Vitoria-Gasteiz;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;253093;123092;130001
1007;Vitoria-Gasteiz;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;253093;123092;130001
1008;Vitoria-Gasteiz;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;253093;123092;130001
1009;Vitoria-Gasteiz;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;253093;123092;130001
1010;Vitoria-Gasteiz;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;253093;123092;130001
1012;Labastida/Bastida;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;1532;789;743
1012;Vitoria-Gasteiz;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;253093;123092;130001
1013;Vitoria-Gasteiz;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;253093;123092;130001
1015;Vitoria-Gasteiz;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;253093;123092;130001
1110;Campezo/Kanpezu;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;1081;576;505
1117;Harana/Valle de Arana;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;226;125;101
1117;Campezo/Kanpezu;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;1081;576;505
1118;Lagrán;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;171;97;74
1118;Bernedo;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;538;314;224
1118;Condado de Treviño;Burgos;C. León;Norte;Norte;ZONA 6;2;2;1416;778;638
1120;Arraia-Maeztu;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;800;447;353
1128;Bernedo;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;538;314;224
1128;Arraia-Maeztu;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;800;447;353
1128;Campezo/Kanpezu;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;1081;576;505
1129;Arraia-Maeztu;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;800;447;353
1130;Zuia;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;2318;1211;1107
1138;Zigoitia;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;1802;972;830
1139;Zuia;Araba/Álava;Pais Vasco;Norte;Norte;ZONA 6;2;2;2318;1211;1107
